Cd_Municipio,Nome_Municipio,Remessa1_Enviadas,Remessa1_Aplicadas,Remessa2_Enviadas,Remessa2_Aplicadas,Total_Aplicadas
2800100,AMPARO DE SAO FRANCISCO,22,22,20,20,42
2800209,AQUIDABA,168,168,106,86,254
2800308,ARACAJU,11169,11039,10440,0,11039
2800407,ARAUA,72,72,59,0,72
2800506,AREIA BRANCA,131,131,120,70,201
2800605,BARRA DOS COQUEIROS,222,222,200,110,332
2800670,BOQUIM,266,266,240,135,401
2800704,BREJO GRANDE,28,28,25,24,52
2801009,CAMPO DO BRITO,130,130,92,58,188
2801108,CANHOBA,28,28,25,2,30
2801207,CANINDE DE SAO FRANCISCO,129,129,90,86,215
2801306,CAPELA,228,228,210,176,404
2801405,CARIRA,105,105,96,60,165
2801504,CARMOPOLIS,124,124,113,31,155
2801603,CEDRO DE SAO JOAO,57,57,41,41,98
2801702,CRISTINAPOLIS,196,189,180,0,189
2801900,CUMBE,33,33,31,26,59
2802007,DIVINA PASTORA,49,49,44,47,96
2802106,ESTANCIA,556,556,470,139,695
2802205,FEIRA NOVA,28,28,25,22,50
2802304,FREI PAULO,76,76,69,69,145
2802403,GARARU,43,43,39,40,83
2802502,GENERAL MAYNARD,43,43,30,32,75
2802601,GRACHO CARDOSO,38,38,35,20,58
2802700,ILHA DAS FLORES,45,45,32,27,72
2802809,INDIAROBA,87,87,80,52,139
2802908,ITABAIANA,1043,1043,820,474,1517
2803005,ITABAIANINHA,261,261,240,131,392
2803104,ITABI,31,31,28,14,45
2803203,ITAPORANGA D'AJUDA,196,196,180,180,376
2803302,JAPARATUBA,146,146,103,51,197
2803401,JAPOATA,90,90,63,34,124
2803500,LAGARTO,1705,1706,1175,353,2059
2803609,LARANJEIRAS,217,193,153,0,193
2803708,MACAMBIRA,35,35,24,25,60
2803807,MALHADA DOS BOIS,40,40,36,10,50
2803906,MALHADOR,59,59,31,44,103
2804003,MARUIM,126,126,89,70,196
2804102,MOITA BONITA,57,57,53,42,99
2804201,MONTE ALEGRE DE SERGIPE,67,67,61,62,129
2804300,MURIBECA,51,51,46,21,72
2804409,NEOPOLIS,171,141,121,0,141
2804458,NOSSA SENHORA APARECIDA,60,60,55,52,112
2804508,NOSSA SENHORA DA GLORIA,251,251,220,130,381
2804607,NOSSA SENHORA DAS DORES,207,207,169,146,353
2804706,NOSSA SENHORA DE LOURDES,60,60,55,11,71
2804805,NOSSA SENHORA DO SOCORRO,1183,1184,875,19,1203
2804904,PACATUBA,62,62,57,43,105
2805000,PEDRA MOLE,19,19,17,17,36
2805109,PEDRINHAS,47,47,34,15,62
2805208,PINHAO,32,32,29,31,63
2805307,PIRAMBU,71,72,51,50,122
2805406,POCO REDONDO,225,225,210,101,326
2805505,POCO VERDE,130,130,91,81,211
2805604,PORTO DA FOLHA,404,404,133,92,496
2805703,PROPRIA,327,327,216,117,444
2805802,RIACHAO DO DANTAS,184,184,129,73,257
2805901,RIACHUELO,117,118,83,66,184
2806008,RIBEIROPOLIS,176,176,117,101,277
2806107,ROSARIO DO CATETE,132,132,92,9,141
2806206,SALGADO,144,144,112,24,168
2806305,SANTA LUZIA DO ITANHY,79,79,55,15,94
2806404,SANTANA DO SAO FRANCISCO,36,36,33,35,71
2806503,SANTA ROSA DE LIMA,38,38,34,21,59
2806602,SANTO AMARO DAS BROTAS,68,68,63,59,127
2806701,SAO CRISTOVAO,561,561,459,148,709
2806800,SAO DOMINGOS,48,48,44,22,70
2806909,SAO FRANCISCO,27,27,19,8,35
2807006,SAO MIGUEL DO ALEIXO,36,36,33,33,69
2807105,SIMAO DIAS,352,352,242,220,572
2807204,SIRIRI,60,60,42,41,101
2807303,TELHA,36,36,33,33,69
2807402,TOBIAS BARRETO,452,452,294,271,723
2807501,TOMAR DO GERU,54,54,50,53,107
2807600,UMBAUBA,206,206,189,0,206
