mes,mes_int,vacina,total
Janeiro,1,Butantan/CoronaVac,57680
Janeiro,1,Janssen,0
Janeiro,1,Oxford/AstraZeneca/Fiocruz,19000
Janeiro,1,Pfizer/BioNTech,0
Fevereiro,2,Butantan/CoronaVac,58800
Fevereiro,2,Janssen,0
Fevereiro,2,Oxford/AstraZeneca/Fiocruz,16500
Fevereiro,2,Pfizer/BioNTech,0
Março,3,Butantan/CoronaVac,126600
Março,3,Janssen,0
Março,3,Oxford/AstraZeneca/Fiocruz,39650
Março,3,Pfizer/BioNTech,0
Abril,4,Butantan/CoronaVac,121800
Abril,4,Janssen,0
Abril,4,Oxford/AstraZeneca/Fiocruz,134250
Abril,4,Pfizer/BioNTech,0
Maio,5,Butantan/CoronaVac,47080
Maio,5,Janssen,0
Maio,5,Oxford/AstraZeneca/Fiocruz,277650
Maio,5,Pfizer/BioNTech,30420
Junho,6,Butantan/CoronaVac,47400
Junho,6,Janssen,16300
Junho,6,Oxford/AstraZeneca/Fiocruz,223250
Junho,6,Pfizer/BioNTech,83070
Julho,7,Butantan/CoronaVac,0
Julho,7,Janssen,0
Julho,7,Oxford/AstraZeneca/Fiocruz,31750
Julho,7,Pfizer/BioNTech,29250
